subject_id,n_trials,accuracy_lda,accuracy_svm
1,40,0.75,0.75
2,43,0.6666666666666666,0.7777777777777778
3,42,0.5555555555555556,0.6666666666666666
4,45,0.5555555555555556,0.5555555555555556
5,39,0.875,1.0
6,32,0.42857142857142855,0.42857142857142855
7,44,0.8888888888888888,0.8888888888888888
8,43,0.3333333333333333,0.4444444444444444
10,40,0.625,0.375
11,44,0.4444444444444444,0.4444444444444444
12,43,0.3333333333333333,0.5555555555555556
14,45,0.6666666666666666,0.6666666666666666
15,19,0.75,0.75
16,45,0.4444444444444444,0.4444444444444444
18,45,0.3333333333333333,0.2222222222222222
19,38,0.5,0.375
20,45,0.4444444444444444,0.3333333333333333
21,17,0.5,0.5
22,33,0.7142857142857143,0.7142857142857143
23,16,0.5,0.5
25,45,0.6666666666666666,0.5555555555555556
26,45,1.0,0.8888888888888888
27,35,0.5714285714285714,0.5714285714285714
28,11,0.0,0.0
29,45,1.0,1.0
30,45,0.6666666666666666,0.3333333333333333
31,37,0.375,0.375
33,45,0.6666666666666666,0.5555555555555556
34,45,1.0,1.0
35,45,0.5555555555555556,0.4444444444444444
36,26,0.3333333333333333,0.5
37,45,0.3333333333333333,0.3333333333333333
38,41,0.3333333333333333,0.5555555555555556
39,18,0.5,0.5
40,37,0.5,0.5
41,45,0.5555555555555556,0.4444444444444444
42,45,0.7777777777777778,0.7777777777777778
43,28,0.5,0.6666666666666666
45,25,0.6,0.4
46,44,0.5555555555555556,0.6666666666666666
47,45,0.4444444444444444,0.4444444444444444
50,44,0.5555555555555556,0.5555555555555556
51,45,0.2222222222222222,0.3333333333333333
52,14,0.3333333333333333,0.3333333333333333
53,28,0.5,0.5
54,12,1.0,1.0
55,45,0.8888888888888888,0.8888888888888888
57,37,0.5,0.5
58,44,0.3333333333333333,0.5555555555555556
59,30,0.8333333333333334,0.8333333333333334
60,27,0.8333333333333334,0.8333333333333334
61,20,0.25,0.5
62,45,0.7777777777777778,0.7777777777777778
63,28,0.5,0.6666666666666666
64,45,1.0,0.8888888888888888
65,39,0.375,0.375
66,43,0.5555555555555556,0.5555555555555556
67,43,0.3333333333333333,0.5555555555555556
68,40,0.25,0.375
69,43,0.4444444444444444,0.4444444444444444
70,42,0.5555555555555556,0.6666666666666666
71,39,0.875,0.875
72,45,0.8888888888888888,0.8888888888888888
73,45,0.7777777777777778,0.7777777777777778
74,45,0.3333333333333333,0.3333333333333333
76,45,0.4444444444444444,0.4444444444444444
77,14,0.6666666666666666,1.0
78,43,0.4444444444444444,0.4444444444444444
80,43,0.5555555555555556,0.6666666666666666
81,45,0.5555555555555556,0.6666666666666666
82,43,0.3333333333333333,0.3333333333333333
83,21,0.4,0.4
84,30,0.5,0.5
85,35,1.0,1.0
86,17,0.75,1.0
87,11,0.0,0.3333333333333333
88,40,0.5,0.5
89,45,0.4444444444444444,0.5555555555555556
90,23,0.4,0.2
91,17,0.5,0.5
92,24,0.6,0.6
93,45,0.6666666666666666,0.5555555555555556
94,11,0.6666666666666666,1.0
96,21,1.0,1.0
97,43,0.4444444444444444,0.4444444444444444
98,45,0.7777777777777778,0.7777777777777778
100,11,0.3333333333333333,0.3333333333333333
