subject_id,n_trials,accuracy
3,42,0.5
5,39,0.48717948717948717
19,38,0.6578947368421053
22,33,0.5151515151515151
25,45,0.6666666666666666
26,45,0.6888888888888889
28,11,0.6363636363636364
34,45,0.8444444444444444
43,28,0.75
51,45,0.5333333333333333
52,14,0.5714285714285714
53,28,0.4642857142857143
57,37,0.5405405405405406
60,27,0.8148148148148148
62,45,0.9111111111111111
72,45,0.8888888888888888
82,43,0.5116279069767442
93,45,0.8444444444444444
98,45,0.4666666666666667
100,11,0.5454545454545454
