subject_id,n_trials,accuracy
1,45,0.7777777777777778
2,45,0.9111111111111111
3,44,0.5888888888888888
4,45,0.5555555555555556
5,45,0.48888888888888893
6,45,0.5333333333333333
7,45,0.9777777777777779
8,45,0.3555555555555555
10,45,0.6
11,44,0.55
12,45,0.7999999999999999
13,18,0.7166666666666666
14,45,0.5777777777777777
15,45,0.6888888888888889
16,45,0.5555555555555556
18,45,0.35555555555555557
19,45,0.6222222222222222
20,45,0.4222222222222222
21,21,0.5700000000000001
22,43,0.48888888888888893
23,42,0.663888888888889
24,21,0.62
25,45,0.6888888888888889
26,45,0.8666666666666666
27,43,0.6083333333333333
28,41,0.26666666666666666
29,45,1.0
30,45,0.4444444444444445
31,45,0.7555555555555555
32,34,0.9714285714285715
33,45,0.6666666666666666
34,45,0.9333333333333332
35,45,0.6888888888888889
36,44,0.43888888888888894
37,45,0.4
38,45,0.4888888888888888
39,45,0.5111111111111111
40,45,0.4222222222222222
41,45,0.5555555555555555
42,45,0.9555555555555555
43,41,0.7833333333333333
44,29,0.6133333333333334
45,42,0.6916666666666667
46,44,0.475
47,45,0.5555555555555556
49,32,0.7523809523809524
50,45,0.5777777777777778
51,45,0.4222222222222222
52,38,0.8178571428571428
53,44,0.7305555555555555
54,42,0.7166666666666666
55,45,0.9333333333333332
56,25,0.8400000000000001
57,45,0.5555555555555556
58,45,0.5555555555555556
59,43,0.4166666666666667
60,45,0.8444444444444443
61,44,0.6583333333333333
62,45,1.0
63,44,0.4111111111111111
64,45,0.5555555555555556
65,43,0.6055555555555555
66,45,0.5777777777777777
67,45,0.5333333333333333
68,45,0.5333333333333334
69,45,0.6
70,45,0.8444444444444443
71,44,0.8194444444444443
72,45,0.9555555555555555
73,45,0.5333333333333334
74,45,0.4666666666666667
75,28,0.7466666666666667
76,45,0.6222222222222222
77,42,0.42777777777777776
78,45,0.3333333333333333
79,34,0.48571428571428577
80,45,0.5111111111111112
81,45,0.5777777777777777
82,44,0.6555555555555556
83,36,0.6392857142857142
84,44,0.5944444444444443
85,44,0.8833333333333332
86,42,0.6
87,44,0.5833333333333333
88,52,0.5236363636363637
89,45,0.6666666666666666
90,45,0.5777777777777777
91,43,0.5333333333333334
92,44,0.6805555555555556
93,45,0.8444444444444443
94,44,1.0
95,28,0.6
96,44,0.5444444444444445
97,44,0.5666666666666667
98,45,0.711111111111111
99,30,0.5666666666666667
100,36,0.6392857142857143
